,학교,과정,결과,via,on,출신,게시날짜,코멘트
0,Duke University,"Biostatistics, PhD (F21)",Other,POST,20 Feb 2021,O,20 Feb 2021,They have sent some offers two weeks ago.
1,Duke University,"Biostatistics, PhD (F21)",Other,POST,20 Feb 2021,I,20 Feb 2021,TTPB: It is not clear if they've released the first wave of decisions. But I doubt that no one is posting about admission even if it is true. At lease they could have disclosed waitlisted candidates!
2,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,U,18 Feb 2021,"Got reply from Program Coordinator about my app status: ""We are hoping we are allowed to release additional decisions soon. I’m sorry for the delay! School of Medicine is only allowing us to release decisions in waves this year."" Should I assume that they have made some decisions for the first few waves?"
3,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,,18 Feb 2021,"TTPB: I emailed on Tuesday to check status, as I have also heard nothing since the visit day. No response yet..."
4,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,O,18 Feb 2021,"TTPB: I also have heard nothing from them since the virtual visit day... It's been a whole month since my interview, weird. :("
5,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,U,18 Feb 2021,"Just curious, has anybody received any offers from Duke Biostatistics PhD Program? Thanks!"
6,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,10 Feb 2021,U,14 Feb 2021,
7,Duke University,"Biostatistics, PhD (F21)",Other,Other,9 Feb 2021,,9 Feb 2021,Does anyone hear from them?
8,Duke University,"Biostatistics, PhD (F21)",Other,Other,4 Feb 2021,I,3 Feb 2021,To the rejection posts below: Have you been interviewed by the program? Thanks.
9,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,U,3 Feb 2021,
10,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,U,3 Feb 2021,no interview
11,Duke University,"Biostatistics, PhD (F21)",Other,Other,3 Feb 2021,U,3 Feb 2021,"To the Duke posts below, have you guys been interviewed? Thanks!"
12,Duke University,"Biostatistics, PhD (F21)",Rejected,Website,3 Feb 2021,U,3 Feb 2021,
13,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,I,3 Feb 2021,
14,Duke University,"Bioinformatics And Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,U,3 Feb 2021,
15,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,,3 Feb 2021,
16,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,3 Feb 2021,U,3 Feb 2021,
17,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,27 Jan 2021,U,2 Feb 2021,"A tuition scholarship of $2,500 per year"
18,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,27 Jan 2021,A,29 Jan 2021,
19,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,15 Jan 2021,A,29 Jan 2021,
20,Duke University,"Biostatistics, PhD (F21)",Interview,E-mail,7 Jan 2021,U,28 Jan 2021,
21,Duke University,"Biostatistics, PhD (F21)",Interview,E-mail,7 Jan 2021,U,27 Jan 2021,"went to the visit day, there were around 36 candidates who are all from top universities and have very strong background... so intense, feel like my chance is almost 0..."
22,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,27 Jan 2021,U,27 Jan 2021,
23,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,15 Jan 2021,A,20 Jan 2021,
24,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,15 Jan 2021,A,15 Jan 2021,Received an email from the program coordinator with a $20k/year scholarship offer
25,Duke University,"Biostatistics, PhD (F21)",Rejected,Website,15 Jan 2021,U,15 Jan 2021,I just manually check the website and see the decision letter.
26,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,15 Jan 2021,I,15 Jan 2021,Undegrad school  - not-known school in Russia
27,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,15 Jan 2021,,15 Jan 2021,
28,Duke University,"Biostatistics, PhD (F21)",Rejected,E-mail,15 Jan 2021,U,15 Jan 2021,
29,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,9 Jan 2021,A,9 Jan 2021,Early Admit
30,Duke University,"Biostatistics And Bioinformatics, PhD (F21)",Interview,E-mail,8 Jan 2021,I,7 Jan 2021,"Got an email at 11:24 AM January 8 in Tokyo, Japan timezone"
31,Duke University,"Biostatistics, PhD (F20)",Accepted,E-mail,6 Mar 2020,,7 Mar 2020,Out of waitlist! So happy! Thanks for declining the offer
32,Duke University,"Biostatistics, Masters (F20)",Accepted,E-mail,23 Jan 2020,U,6 Feb 2020,
33,Duke University,"Biostatistics, PhD (F20)",Accepted,Website,29 Jan 2020,U,29 Jan 2020,
34,Duke University,"Biostatistics, PhD (F20)",Accepted,E-mail,29 Jan 2020,A,29 Jan 2020,Accepted after an interview a couple weeks ago
35,Duke University,"Biostatistics, PhD (F20)",Accepted,E-mail,29 Jan 2020,,29 Jan 2020,
36,Duke University,"Biostatistics, Masters (F20)",Accepted,E-mail,23 Jan 2020,A,27 Jan 2020,"$25,000 per year scholarship"
37,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,24 Jan 2020,U,25 Jan 2020,"Rejected after interview. I don't wanna go anyway, but still a little sad"
38,Duke University,"Biostatistics, PhD (F20)",Wait listed,E-mail,24 Jan 2020,U,24 Jan 2020,Put me on an alternative list.
39,Duke University,"Biostatistics, Masters (F20)",Accepted,E-mail,23 Jan 2020,,23 Jan 2020,"Declined to PhD, accepted into MS program one week after"
40,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,I,19 Jan 2020,
41,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,18 Jan 2020,U,19 Jan 2020,
42,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,I,18 Jan 2020,
43,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,18 Jan 2020,U,17 Jan 2020,email to check website.
44,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,U,17 Jan 2020,
45,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,I,17 Jan 2020,"Sorry for the previous mistake, it should be Duke not Emory"
46,Duke University,"Biostatistics, PhD (F20)",Rejected,Website,17 Jan 2020,U,17 Jan 2020,
47,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,U,17 Jan 2020,
48,Duke University,"Biostatistics, PhD (F20)",Rejected,E-mail,17 Jan 2020,,17 Jan 2020,
49,Duke University,"Biostatistics, PhD (F20)",Interview,E-mail,14 Jan 2020,U,14 Jan 2020,A brief interview for 30 minutes.
50,Duke University,"Biostatistics, PhD (F20)",Interview,E-mail,7 Jan 2020,U,7 Jan 2020,1st interview!
51,Duke University,"Biostatistics, Masters (F19)",Accepted,E-mail,28 Mar 2019,,28 Mar 2019,Rejected from the PhD program (I was on the waitlist since January 31st; they said they won't be accepting anyone else from the waitlist for PhDs) and accepted into the masters' program.
52,Duke University,"Biostatistics, Masters (F19)",Other,Other,15 Mar 2019,U,15 Mar 2019,Did anyone receive an offer from the program since then? It's been a while since the last post.
53,Duke University,"Biostatistics, Masters (F19)",Accepted,E-mail,6 Feb 2019,I,5 Feb 2019,Was actually denied from the phd program and got accepted by its ms. But why do they think I should ever come?
54,Duke University,"Biostatistics, Masters (F19)",Accepted,E-mail,1 Feb 2019,U,1 Feb 2019,
55,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,31 Jan 2019,I,1 Feb 2019,"That is alright. I did not want to come to Duke anyway, because of the ""Do not speak Chinese at Duke"" event happened recently. So this rejection really gave me convenience."
56,Duke University,"Biostatistics, PhD (F19)",Rejected,E-mail,31 Jan 2019,A,31 Jan 2019,Was interviewed.
57,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,31 Jan 2019,U,31 Jan 2019,1.17  interview and reject today
58,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,31 Jan 2019,U,31 Jan 2019,Didn't receive the interview....
59,Duke University,"Biostatistics, PhD (S19)",Rejected,Website,31 Jan 2019,U,31 Jan 2019,
60,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,31 Jan 2019,U,31 Jan 2019,
61,Duke University,"Biostatistics, PhD (F19)",Other,Other,31 Jan 2019,O,31 Jan 2019,To the Duke Biostatistics posters below - Were you interviewed by the program? I have not been interviewed yet.
62,Duke University,"Biostatistics, PhD (F19)",Rejected,E-mail,31 Jan 2019,U,31 Jan 2019,
63,Duke University,"Biostatistics, PhD (F19)",Rejected,E-mail,31 Jan 2019,U,31 Jan 2019,
64,Duke University,"Biostatistics, Masters (F19)",Accepted,E-mail,25 Jan 2019,A,25 Jan 2019,"Same as below, rejected from Ph.D. but then accepted into Masters"
65,Duke University,"Biostatistics, Masters (F19)",Accepted,E-mail,25 Jan 2019,A,25 Jan 2019,Got rejected from their PhD program a few days ago
66,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,17 Jan 2019,A,23 Jan 2019,I have a MS in biostats from a top-5 program
67,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,22 Jan 2019,A,22 Jan 2019,
68,Duke University,"Biostatistics, PhD (S19)",Rejected,E-mail,22 Jan 2019,A,22 Jan 2019,
