,학교,과정,결과,via,on,출신,게시날짜,코멘트
0,Duke University,"Cell And Molecular Bio (CMB), PhD (F21)",Other,Other,22 Feb 2021,A,22 Feb 2021,Has anyone heard back yet after the interviews?
1,Duke University,"Developmental And Stem Cell Biology (DSCB), PhD (F21)",Other,Other,22 Feb 2021,A,22 Feb 2021,Nothing yet for me.
2,Duke University,"Developmental And Stem Cell Biology (DSCB), PhD (S21)",Other,Other,22 Feb 2021,,22 Feb 2021,Anyone who was interviewed hear anything yet?
3,Duke University,"Biostatistics, PhD (F21)",Other,POST,20 Feb 2021,O,20 Feb 2021,They have sent some offers two weeks ago.
4,Duke University,"Biostatistics, PhD (F21)",Other,POST,20 Feb 2021,I,20 Feb 2021,TTPB: It is not clear if they've released the first wave of decisions. But I doubt that no one is posting about admission even if it is true. At lease they could have disclosed waitlisted candidates!
5,Duke University,"Biochemistrymistry, PhD (F21)",Rejected,E-mail,19 Feb 2021,I,19 Feb 2021,
6,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,U,18 Feb 2021,"Got reply from Program Coordinator about my app status: ""We are hoping we are allowed to release additional decisions soon. I’m sorry for the delay! School of Medicine is only allowing us to release decisions in waves this year."" Should I assume that they have made some decisions for the first few waves?"
7,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,,18 Feb 2021,"TTPB: I emailed on Tuesday to check status, as I have also heard nothing since the visit day. No response yet..."
8,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,13 Feb 2021,U,18 Feb 2021,Reported before…Received email from department today to let me know I am awarded scholarship
9,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,O,18 Feb 2021,"TTPB: I also have heard nothing from them since the virtual visit day... It's been a whole month since my interview, weird. :("
10,Duke University,"Biostatistics, PhD (F21)",Other,Other,18 Feb 2021,U,18 Feb 2021,"Just curious, has anybody received any offers from Duke Biostatistics PhD Program? Thanks!"
11,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,15 Feb 2021,U,18 Feb 2021,"Super excited! Just believe in yourself, you don't have to have perfect scores and grades."
12,Duke University,"Cell And Molecular Biology, PhD (F21)",Accepted,Website,15 Feb 2021,A,17 Feb 2021,Email telling me to check the website. Accepted notification was in the application portal.
13,Duke University,"Computational Biology And Bioinformatics, PhD (F21)",Accepted,Website,16 Feb 2021,U,17 Feb 2021,
14,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,16 Feb 2021,A,16 Feb 2021,
15,Duke,"Computational Biology & Bioinformatics CBB, PhD (F21)",Accepted,Website,16 Feb 2021,,16 Feb 2021,Super stoked!
16,Duke University,"Biomedical Engineering, PhD (F21)",Other,E-mail,16 Feb 2021,A,16 Feb 2021,Invited to a virtual recruitment event for next week!
17,Duke,"Computational Biology And Bininformatics, PhD (F21)",Rejected,Website,16 Feb 2021,,16 Feb 2021,rejected after interview
18,Duke University,"Computational Biology And Bioinformatics, PhD (F21)",Accepted,Website,16 Feb 2021,A,16 Feb 2021,"Got an email that the portal had been updated, and it contained my admissions letter."
19,Duke University,"Computational Biology And Bioinformatics (CBB), PhD (F21)",Accepted,E-mail,16 Feb 2021,A,16 Feb 2021,
20,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,15 Feb 2021,I,15 Feb 2021,First admit! Super happy!
21,Duke University,"Biostatistics, Masters (F21)",Accepted,E-mail,10 Feb 2021,U,14 Feb 2021,
22,Duke University,"Biology, PhD (F21)",Accepted,E-mail,12 Feb 2021,A,13 Feb 2021,Email to check portal
23,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,12 Feb 2021,I,13 Feb 2021,"If there's an accepted students' group chat/website for finding accommodation and stuff, please let me know."
24,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,12 Feb 2021,U,13 Feb 2021,
25,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,Website,12 Feb 2021,U,12 Feb 2021,
26,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,12 Feb 2021,U,12 Feb 2021,
27,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,Website,12 Feb 2021,,12 Feb 2021,
28,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,11 Feb 2021,A,11 Feb 2021,
29,Duke University,"Biology, PhD (F21)",Rejected,E-mail,11 Feb 2021,A,11 Feb 2021,Notified through email and portal.
30,Duke University,"Biomedical Engineering, Masters (F21)",Accepted,E-mail,11 Feb 2021,A,11 Feb 2021,
31,Duke University,"Biology, PhD (F21)",Rejected,E-mail,11 Feb 2021,,11 Feb 2021,Update to my portal. I expected this lol
